,episodes,reward
736,147,8.0
737,147,6.0
738,147,55.0
739,147,17.0
740,148,20.0
741,148,9.0
742,148,8.0
743,148,11.0
744,148,11.0
745,149,7.0
746,149,11.0
747,149,8.0
748,149,5.0
749,149,12.0
750,150,8.0
751,150,5.0
752,150,11.0
753,150,10.0
754,150,15.0
755,151,7.0
756,151,10.0
757,151,7.0
758,151,10.0
759,151,7.0
760,152,26.0
761,152,15.0
762,152,6.0
763,152,18.0
764,152,19.0
765,153,8.0
766,153,11.0
767,153,20.0
768,153,22.0
769,153,10.0
770,154,17.0
771,154,10.0
772,154,11.0
773,154,15.0
774,154,8.0
775,155,9.0
776,155,9.0
777,155,9.0
778,155,5.0
779,155,17.0
780,156,13.0
781,156,10.0
782,156,8.0
783,156,9.0
784,156,12.0
785,157,14.0
786,157,23.0
787,157,7.0
788,157,17.0
789,157,16.0
790,158,14.0
791,158,7.0
792,158,8.0
793,158,10.0
794,158,20.0
795,159,9.0
796,159,5.0
797,159,16.0
798,159,11.0
799,159,7.0
800,160,33.0
801,160,6.0
802,160,5.0
803,160,17.0
804,160,22.0
805,161,15.0
806,161,6.0
807,161,6.0
808,161,8.0
809,161,25.0
810,162,9.0
811,162,8.0
812,162,17.0
813,162,11.0
814,162,20.0
815,163,15.0
816,163,6.0
817,163,26.0
818,163,12.0
819,163,20.0
820,164,30.0
821,164,11.0
822,164,30.0
823,164,9.0
824,164,17.0
825,165,13.0
826,165,21.0
827,165,7.0
828,165,13.0
829,165,23.0
830,166,16.0
831,166,8.0
832,166,11.0
833,166,14.0
834,166,25.0
835,167,14.0
836,167,9.0
837,167,36.0
838,167,14.0
839,167,23.0
840,168,14.0
841,168,6.0
842,168,15.0
843,168,14.0
844,168,14.0
845,169,4.0
846,169,5.0
847,169,9.0
848,169,22.0
849,169,13.0
850,170,7.0
851,170,12.0
852,170,7.0
853,170,26.0
854,170,11.0
855,171,11.0
856,171,10.0
857,171,7.0
858,171,5.0
859,171,15.0
860,172,20.0
861,172,10.0
862,172,6.0
863,172,15.0
864,172,15.0
865,173,16.0
866,173,7.0
867,173,10.0
868,173,10.0
869,173,38.0
870,174,18.0
871,174,9.0
872,174,7.0
