,episodes,reward
266,53,-60.27955
267,53,-52.177914
268,53,-55.59096
269,53,-39.779926
270,54,-59.470406
271,54,-44.461758
272,54,-58.136482
273,54,-58.32541
274,54,-35.96162
275,55,-48.00767
276,55,-49.879635
277,55,-46.876785
278,55,-65.933945
279,55,-32.464226
280,56,-76.80464
281,56,-56.38573
282,56,-44.925133
283,56,-64.0267
284,56,-33.052814
285,57,-29.94827
286,57,-51.16678
287,57,-50.198097
288,57,-52.352066
289,57,-34.20455
290,58,-55.839096
291,58,-47.707664
292,58,-48.40801
293,58,-76.14823
294,58,-32.028183
295,59,-50.381138
296,59,-47.13297
297,59,-46.67538
298,59,-52.998943
299,59,-41.922356
300,60,-39.52725
301,60,-53.633015
302,60,-53.638805
303,60,-60.488895
304,60,-41.82482
305,61,-37.034515
306,61,-57.55877
307,61,-58.837673
308,61,-44.252335
309,61,-43.5411
310,62,-49.732513
311,62,-38.926186
312,62,-54.724586
313,62,-59.43973
314,62,-38.827633
315,63,-36.33392
316,63,-68.31078
317,63,-53.774094
318,63,-49.723698
319,63,-38.725773
320,64,-45.518784
321,64,-45.181572
322,64,-46.426266
323,64,-48.680084
324,64,-34.15061
325,65,-25.920824
326,65,-42.525772
327,65,-41.7797
328,65,-59.760605
329,65,-40.78415
330,66,-52.917747
331,66,-45.740974
332,66,-50.931393
333,66,-46.53718
334,66,-39.334778
335,67,-37.41815
336,67,-66.73459
337,67,-47.526356
338,67,-80.614655
339,67,-50.75775
340,68,-55.949707
341,68,-46.856407
342,68,-58.11709
343,68,-82.29031
344,68,-33.60061
345,69,-43.166634
346,69,-37.169285
347,69,-58.158573
348,69,-59.16394
349,69,-32.13956
350,70,-34.204792
351,70,-41.329975
352,70,-41.890545
353,70,-60.30565
354,70,-37.8434
355,71,-38.468742
356,71,-42.38555
357,71,-53.539307
358,71,-55.035126
359,71,-40.563366
360,72,-44.621105
361,72,-42.296055
362,72,-50.36349
363,72,-64.13289
364,72,-36.244396
365,73,-47.264053
366,73,-71.79006
367,73,-43.87605
368,73,-56.688435
369,73,-33.311604
370,74,-42.937428
371,74,-51.473846
372,74,-49.40547
373,74,-59.872055
374,74,-41.110016
375,75,-39.158756
376,75,-53.17311
377,75,-52.23757
378,75,-59.20548
379,75,-32.804863
380,76,-41.60888
381,76,-60.02832
382,76,-50.396408
383,76,-50.815323
384,76,-42.308186
385,77,-32.189983
386,77,-40.39617
387,77,-43.759476
388,77,-87.81857
389,77,-39.598167
390,78,-49.31053
391,78,-51.538235
392,78,-42.303753
393,78,-46.17416
394,78,-39.283955
395,79,-46.93598
396,79,-50.850483
397,79,-36.28886
398,79,-43.974503
399,79,-36.305763
400,80,-34.080696
401,80,-39.950233
402,80,-51.76352
403,80,-52.922585
404,80,-38.24675
405,81,-42.08652
406,81,-63.590214
407,81,-54.46834
408,81,-54.26746
409,81,-29.829454
410,82,-55.843136
411,82,-58.147892
412,82,-47.38058
413,82,-49.95063
414,82,-30.445238
415,83,-39.42951
416,83,-38.364162
417,83,-53.299244
418,83,-75.98279
419,83,-32.123077
420,84,-30.381668
421,84,-40.90379
422,84,-41.79988
423,84,-44.01147
424,84,-50.149826
425,85,-41.075226
426,85,-52.400177
427,85,-50.733585
428,85,-50.73785
429,85,-27.842009
430,86,-39.93568
431,86,-35.812363
432,86,-53.866505
433,86,-60.76645
434,86,-33.996014
435,87,-28.145994
